From	To	Species	Gene Name
212086_x_at	LMNA	Homo sapiens	lamin A/C(LMNA)
219228_at	ZNF331	Homo sapiens	zinc finger protein 331(ZNF331)
204255_s_at	VDR	Homo sapiens	vitamin D receptor(VDR)
205376_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
211005_at	LAT	Homo sapiens	linker for activation of T cells(LAT)
202547_s_at	ARHGEF7	Homo sapiens	Rho guanine nucleotide exchange factor 7(ARHGEF7)
204283_at	FARS2	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)
207785_s_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
217875_s_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
202610_s_at	MED14	Homo sapiens	mediator complex subunit 14(MED14)
201531_at	ZFP36	Homo sapiens	ZFP36 ring finger protein(ZFP36)
222449_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
202581_at	HSPA1A	Homo sapiens	heat shock protein family A (Hsp70) member 1A(HSPA1A)
201170_s_at	BHLHE40	Homo sapiens	basic helix-loop-helix family member e40(BHLHE40)
213825_at	OLIG2	Homo sapiens	oligodendrocyte transcription factor 2(OLIG2)
205568_at	AQP9	Homo sapiens	aquaporin 9(AQP9)
203804_s_at	LUC7L3	Homo sapiens	LUC7 like 3 pre-mRNA splicing factor(LUC7L3)
209928_s_at	MSC	Homo sapiens	musculin(MSC)
200989_at	HIF1A	Homo sapiens	hypoxia inducible factor 1 subunit alpha(HIF1A)
204093_at	CCNH	Homo sapiens	cyclin H(CCNH)
227410_at	FAM43A	Homo sapiens	family with sequence similarity 43 member A(FAM43A)
209993_at	ABCB1	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
221246_x_at	TNS1	Homo sapiens	tensin 1(TNS1)
213325_at	NECTIN3	Homo sapiens	nectin cell adhesion molecule 3(NECTIN3)
211969_at	HSP90AA1	Homo sapiens	heat shock protein 90 alpha family class A member 1(HSP90AA1)
208811_s_at	DNAJB6	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B6(DNAJB6)
203420_at	FAM8A1	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
216180_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
210785_s_at	THEMIS2	Homo sapiens	thymocyte selection associated family member 2(THEMIS2)
201041_s_at	DUSP1	Homo sapiens	dual specificity phosphatase 1(DUSP1)
221482_s_at	ARPP19	Homo sapiens	cAMP regulated phosphoprotein 19(ARPP19)
222450_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
222874_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
221914_at	SYN1	Homo sapiens	synapsin I(SYN1)
223402_at	DUSP23	Homo sapiens	dual specificity phosphatase 23(DUSP23)
214435_x_at	RALA	Homo sapiens	RAS like proto-oncogene A(RALA)
202464_s_at	PFKFB3	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)
219434_at	TREM1	Homo sapiens	triggering receptor expressed on myeloid cells 1(TREM1)
214583_at	DDI2	Homo sapiens	DNA damage inducible 1 homolog 2(DDI2)
201810_s_at	SH3BP5	Homo sapiens	SH3 domain binding protein 5(SH3BP5)
206976_s_at	HSPH1	Homo sapiens	heat shock protein family H (Hsp110) member 1(HSPH1)
212899_at	CDK19	Homo sapiens	cyclin dependent kinase 19(CDK19)
209122_at	PLIN2	Homo sapiens	perilipin 2(PLIN2)
227639_at	PIGK	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
1553723_at	ADGRG3	Homo sapiens	adhesion G protein-coupled receptor G3(ADGRG3)
214290_s_at	H2AC19	Homo sapiens	H2A clustered histone 19(H2AC19)
201135_at	ECHS1	Homo sapiens	enoyl-CoA hydratase, short chain 1(ECHS1)
227817_at	PRKCB	Homo sapiens	protein kinase C beta(PRKCB)
209325_s_at	RGS16	Homo sapiens	regulator of G protein signaling 16(RGS16)
238319_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
204958_at	PLK3	Homo sapiens	polo like kinase 3(PLK3)
208579_x_at	LOC102724334	Homo sapiens	histone H2B type F-S-like(LOC102724334)
219532_at	ELOVL4	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
230345_at	SEMA7A	Homo sapiens	semaphorin 7A (John Milton Hagen blood group)(SEMA7A)
212230_at	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
204805_s_at	H1-10	Homo sapiens	H1.10 linker histone(H1-10)
1554600_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
227378_x_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
210612_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
211668_s_at	PLAU	Homo sapiens	plasminogen activator, urokinase(PLAU)
204392_at	CAMK1	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
211999_at	H3-3B	Homo sapiens	H3.3 histone B(H3-3B)
212566_at	MAP4	Homo sapiens	microtubule associated protein 4(MAP4)
224415_s_at	HINT2	Homo sapiens	histidine triad nucleotide binding protein 2(HINT2)
210845_s_at	PLAUR	Homo sapiens	plasminogen activator, urokinase receptor(PLAUR)
224934_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
221737_at	GNA12	Homo sapiens	G protein subunit alpha 12(GNA12)
224368_s_at	NDRG3	Homo sapiens	NDRG family member 3(NDRG3)
204985_s_at	TRAPPC6A	Homo sapiens	trafficking protein particle complex subunit 6A(TRAPPC6A)
38037_at	HBEGF	Homo sapiens	heparin binding EGF like growth factor(HBEGF)
209458_x_at	HBA1	Homo sapiens	hemoglobin subunit alpha 1(HBA1)
37549_g_at	BBS9	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
204655_at	CCL5	Homo sapiens	C-C motif chemokine ligand 5(CCL5)
210672_s_at	NPRL3	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
228536_at	PRMT9	Homo sapiens	protein arginine methyltransferase 9(PRMT9)
217751_at	GSTK1	Homo sapiens	glutathione S-transferase kappa 1(GSTK1)
206974_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
226710_at	C8orf82	Homo sapiens	chromosome 8 open reading frame 82(C8orf82)
202351_at	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
201762_s_at	PSME2	Homo sapiens	proteasome activator subunit 2(PSME2)
201301_s_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
219911_s_at	SLCO4A1	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
207453_s_at	DNAJB5	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
232746_at	ACKR3	Homo sapiens	atypical chemokine receptor 3(ACKR3)
217196_s_at	CAMSAP2	Homo sapiens	calmodulin regulated spectrin associated protein family member 2(CAMSAP2)
211113_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
201631_s_at	IER3	Homo sapiens	immediate early response 3(IER3)
210665_at	TFPI	Homo sapiens	tissue factor pathway inhibitor(TFPI)
215438_x_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
203831_at	R3HDM2	Homo sapiens	R3H domain containing 2(R3HDM2)
200748_s_at	FTH1	Homo sapiens	ferritin heavy chain 1(FTH1)
211086_x_at	NEK1	Homo sapiens	NIMA related kinase 1(NEK1)
202727_s_at	IFNGR1	Homo sapiens	interferon gamma receptor 1(IFNGR1)
205681_at	BCL2A1	Homo sapiens	BCL2 related protein A1(BCL2A1)
204472_at	GEM	Homo sapiens	GTP binding protein overexpressed in skeletal muscle(GEM)
209606_at	CYTIP	Homo sapiens	cytohesin 1 interacting protein(CYTIP)
1554466_a_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
221423_s_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
223567_at	SEMA6B	Homo sapiens	semaphorin 6B(SEMA6B)
1562749_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
201473_at	JUNB	Homo sapiens	JunB proto-oncogene, AP-1 transcription factor subunit(JUNB)
205488_at	GZMA	Homo sapiens	granzyme A(GZMA)
211744_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
209189_at	FOS	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
202499_s_at	SLC2A3	Homo sapiens	solute carrier family 2 member 3(SLC2A3)
217028_at	CXCR4	Homo sapiens	C-X-C motif chemokine receptor 4(CXCR4)
232687_at	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
212070_at	ADGRG1	Homo sapiens	adhesion G protein-coupled receptor G1(ADGRG1)
204567_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
201925_s_at	CD55	Homo sapiens	CD55 molecule (Cromer blood group)(CD55)
201601_x_at	IFITM2	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
200800_s_at	HSPA1A	Homo sapiens	heat shock protein family A (Hsp70) member 1A(HSPA1A)
202628_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
217127_at	CTH	Homo sapiens	cystathionine gamma-lyase(CTH)
202391_at	BASP1	Homo sapiens	brain abundant membrane attached signal protein 1(BASP1)
204136_at	COL7A1	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)
200814_at	PSME1	Homo sapiens	proteasome activator subunit 1(PSME1)
210512_s_at	VEGFA	Homo sapiens	vascular endothelial growth factor A(VEGFA)
201809_s_at	ENG	Homo sapiens	endoglin(ENG)
201302_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
205466_s_at	HS3ST1	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 1(HS3ST1)
201841_s_at	HSPB1	Homo sapiens	heat shock protein family B (small) member 1(HSPB1)
200958_s_at	SDCBP	Homo sapiens	syndecan binding protein(SDCBP)
205119_s_at	FPR1	Homo sapiens	formyl peptide receptor 1(FPR1)
226099_at	ELL2	Homo sapiens	elongation factor for RNA polymerase II 2(ELL2)
238569_at	GABBR1	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
1563745_a_at	ZMIZ1-AS1	Homo sapiens	ZMIZ1 antisense RNA 1(ZMIZ1-AS1)
201666_at	TIMP1	Homo sapiens	TIMP metallopeptidase inhibitor 1(TIMP1)
242482_at	PRKAR1A	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
213310_at	AGO2	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
211833_s_at	BAX	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)
209610_s_at	SLC1A4	Homo sapiens	solute carrier family 1 member 4(SLC1A4)
208510_s_at	PPARG	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
238079_at	TPM3	Homo sapiens	tropomyosin 3(TPM3)
215001_s_at	GLUL	Homo sapiens	glutamate-ammonia ligase(GLUL)
213095_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
235916_at	YPEL4	Homo sapiens	yippee like 4(YPEL4)
217738_at	NAMPT	Homo sapiens	nicotinamide phosphoribosyltransferase(NAMPT)
221563_at	DUSP10	Homo sapiens	dual specificity phosphatase 10(DUSP10)
212828_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
203108_at	GPRC5A	Homo sapiens	G protein-coupled receptor class C group 5 member A(GPRC5A)
