From	To	Species	Gene Name
229584_at	LRRK2	Homo sapiens	leucine rich repeat kinase 2(LRRK2)
226545_at	CD109	Homo sapiens	CD109 molecule(CD109)
206683_at	ZNF165	Homo sapiens	zinc finger protein 165(ZNF165)
238590_x_at	TMEM107	Homo sapiens	transmembrane protein 107(TMEM107)
219340_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
227970_at	GPR157	Homo sapiens	G protein-coupled receptor 157(GPR157)
202523_s_at	SPOCK2	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2(SPOCK2)
200827_at	PLOD1	Homo sapiens	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1(PLOD1)
211469_s_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
56197_at	TMEM256-PLSCR3	Homo sapiens	TMEM256-PLSCR3 readthrough (NMD candidate)(TMEM256-PLSCR3)
229498_at	MBNL3	Homo sapiens	muscleblind like splicing regulator 3(MBNL3)
231925_at	P2RY1	Homo sapiens	purinergic receptor P2Y1(P2RY1)
214022_s_at	IFITM1	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
201212_at	LGMN	Homo sapiens	legumain(LGMN)
219869_s_at	SLC39A8	Homo sapiens	solute carrier family 39 member 8(SLC39A8)
226905_at	RFLNB	Homo sapiens	refilin B(RFLNB)
233072_at	NTNG2	Homo sapiens	netrin G2(NTNG2)
210004_at	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
236075_s_at	ZNF232-AS1	Homo sapiens	ZNF232 antisense RNA 1(ZNF232-AS1)
209574_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
1562157_at	LINC01526	Homo sapiens	long intergenic non-protein coding RNA 1526(LINC01526)
211974_x_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
1553153_at	ATP6V0D2	Homo sapiens	ATPase H+ transporting V0 subunit d2(ATP6V0D2)
221748_s_at	TNS1	Homo sapiens	tensin 1(TNS1)
213716_s_at	SECTM1	Homo sapiens	secreted and transmembrane 1(SECTM1)
202123_s_at	ABL1	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
225186_at	RAPH1	Homo sapiens	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)
202627_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
201563_at	SORD	Homo sapiens	sorbitol dehydrogenase(SORD)
210517_s_at	AKAP12	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
221087_s_at	APOL3	Homo sapiens	apolipoprotein L3(APOL3)
225339_at	SPAG9	Homo sapiens	sperm associated antigen 9(SPAG9)
1554240_a_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
226679_at	SLC26A11	Homo sapiens	solute carrier family 26 member 11(SLC26A11)
219257_s_at	SPHK1	Homo sapiens	sphingosine kinase 1(SPHK1)
1552701_a_at	CARD16	Homo sapiens	caspase recruitment domain family member 16(CARD16)
225548_at	SHROOM3	Homo sapiens	shroom family member 3(SHROOM3)
218562_s_at	MACO1	Homo sapiens	macoilin 1(MACO1)
205076_s_at	MTMR11	Homo sapiens	myotubularin related protein 11(MTMR11)
205692_s_at	CD38	Homo sapiens	CD38 molecule(CD38)
218153_at	CARS2	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)
213241_at	PLXNC1	Homo sapiens	plexin C1(PLXNC1)
201389_at	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
226000_at	CTTNBP2NL	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)
1568629_s_at	PIK3R2	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
203680_at	PRKAR2B	Homo sapiens	protein kinase cAMP-dependent type II regulatory subunit beta(PRKAR2B)
204702_s_at	NFE2L3	Homo sapiens	NFE2 like bZIP transcription factor 3(NFE2L3)
235299_at	SLC41A2	Homo sapiens	solute carrier family 41 member 2(SLC41A2)
204690_at	STX8	Homo sapiens	syntaxin 8(STX8)
204134_at	PDE2A	Homo sapiens	phosphodiesterase 2A(PDE2A)
226482_s_at	TSTD1	Homo sapiens	thiosulfate sulfurtransferase like domain containing 1(TSTD1)
219709_x_at	ANTKMT	Homo sapiens	adenine nucleotide translocase lysine methyltransferase(ANTKMT)
205790_at	SKAP1	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)
209478_at	CENPX	Homo sapiens	centromere protein X(CENPX)
242224_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
206675_s_at	SKIL	Homo sapiens	SKI like proto-oncogene(SKIL)
201912_s_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
228964_at	PRDM1	Homo sapiens	PR/SET domain 1(PRDM1)
217996_at	PHLDA1	Homo sapiens	pleckstrin homology like domain family A member 1(PHLDA1)
218815_s_at	TMEM51	Homo sapiens	transmembrane protein 51(TMEM51)
1566129_at	LIMS1	Homo sapiens	LIM zinc finger domain containing 1(LIMS1)
237753_at	IL21R	Homo sapiens	interleukin 21 receptor(IL21R)
236026_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
226629_at	SLC43A2	Homo sapiens	solute carrier family 43 member 2(SLC43A2)
201690_s_at	TPD52	Homo sapiens	tumor protein D52(TPD52)
202468_s_at	CTNNAL1	Homo sapiens	catenin alpha like 1(CTNNAL1)
216942_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
239719_at	CD109	Homo sapiens	CD109 molecule(CD109)
213638_at	PHACTR1	Homo sapiens	phosphatase and actin regulator 1(PHACTR1)
224949_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
209573_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
203411_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
205027_s_at	MAP3K8	Homo sapiens	mitogen-activated protein kinase kinase kinase 8(MAP3K8)
202139_at	AKR7A2	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
212086_x_at	LMNA	Homo sapiens	lamin A/C(LMNA)
1553155_x_at	ATP6V0D2	Homo sapiens	ATPase H+ transporting V0 subunit d2(ATP6V0D2)
204255_s_at	VDR	Homo sapiens	vitamin D receptor(VDR)
205376_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
202547_s_at	ARHGEF7	Homo sapiens	Rho guanine nucleotide exchange factor 7(ARHGEF7)
204283_at	FARS2	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)
207785_s_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
235276_at	EPSTI1	Homo sapiens	epithelial stromal interaction 1(EPSTI1)
210390_s_at	CCL15-CCL14	Homo sapiens	CCL15-CCL14 readthrough (NMD candidate)(CCL15-CCL14)
217875_s_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
202610_s_at	MED14	Homo sapiens	mediator complex subunit 14(MED14)
222449_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
209147_s_at	PLPP1	Homo sapiens	phospholipid phosphatase 1(PLPP1)
204929_s_at	VAMP5	Homo sapiens	vesicle associated membrane protein 5(VAMP5)
202134_s_at	WWTR1	Homo sapiens	WW domain containing transcription regulator 1(WWTR1)
213825_at	OLIG2	Homo sapiens	oligodendrocyte transcription factor 2(OLIG2)
209928_s_at	MSC	Homo sapiens	musculin(MSC)
227410_at	FAM43A	Homo sapiens	family with sequence similarity 43 member A(FAM43A)
209993_at	ABCB1	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
209267_s_at	SLC39A8	Homo sapiens	solute carrier family 39 member 8(SLC39A8)
221246_x_at	TNS1	Homo sapiens	tensin 1(TNS1)
213325_at	NECTIN3	Homo sapiens	nectin cell adhesion molecule 3(NECTIN3)
203420_at	FAM8A1	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
216180_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
235175_at	GBP4	Homo sapiens	guanylate binding protein 4(GBP4)
221482_s_at	ARPP19	Homo sapiens	cAMP regulated phosphoprotein 19(ARPP19)
222450_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
222874_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
221914_at	SYN1	Homo sapiens	synapsin I(SYN1)
223402_at	DUSP23	Homo sapiens	dual specificity phosphatase 23(DUSP23)
214435_x_at	RALA	Homo sapiens	RAS like proto-oncogene A(RALA)
221601_s_at	FCMR	Homo sapiens	Fc mu receptor(FCMR)
214583_at	DDI2	Homo sapiens	DNA damage inducible 1 homolog 2(DDI2)
207375_s_at	IL15RA	Homo sapiens	interleukin 15 receptor subunit alpha(IL15RA)
212899_at	CDK19	Homo sapiens	cyclin dependent kinase 19(CDK19)
1553151_at	ATP6V0D2	Homo sapiens	ATPase H+ transporting V0 subunit d2(ATP6V0D2)
209122_at	PLIN2	Homo sapiens	perilipin 2(PLIN2)
227639_at	PIGK	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
1553723_at	ADGRG3	Homo sapiens	adhesion G protein-coupled receptor G3(ADGRG3)
201135_at	ECHS1	Homo sapiens	enoyl-CoA hydratase, short chain 1(ECHS1)
227817_at	PRKCB	Homo sapiens	protein kinase C beta(PRKCB)
209325_s_at	RGS16	Homo sapiens	regulator of G protein signaling 16(RGS16)
238319_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
220005_at	P2RY13	Homo sapiens	purinergic receptor P2Y13(P2RY13)
209735_at	ABCG2	Homo sapiens	ATP binding cassette subfamily G member 2 (Junior blood group)(ABCG2)
219532_at	ELOVL4	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
204997_at	GPD1	Homo sapiens	glycerol-3-phosphate dehydrogenase 1(GPD1)
230345_at	SEMA7A	Homo sapiens	semaphorin 7A (John Milton Hagen blood group)(SEMA7A)
212230_at	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
1554600_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
227378_x_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
210612_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
211668_s_at	PLAU	Homo sapiens	plasminogen activator, urokinase(PLAU)
230110_at	MCOLN2	Homo sapiens	mucolipin TRP cation channel 2(MCOLN2)
205738_s_at	FABP3	Homo sapiens	fatty acid binding protein 3(FABP3)
204392_at	CAMK1	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
212566_at	MAP4	Homo sapiens	microtubule associated protein 4(MAP4)
224415_s_at	HINT2	Homo sapiens	histidine triad nucleotide binding protein 2(HINT2)
224934_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
221737_at	GNA12	Homo sapiens	G protein subunit alpha 12(GNA12)
224368_s_at	NDRG3	Homo sapiens	NDRG family member 3(NDRG3)
204985_s_at	TRAPPC6A	Homo sapiens	trafficking protein particle complex subunit 6A(TRAPPC6A)
203528_at	SEMA4D	Homo sapiens	semaphorin 4D(SEMA4D)
219938_s_at	PSTPIP2	Homo sapiens	proline-serine-threonine phosphatase interacting protein 2(PSTPIP2)
37549_g_at	BBS9	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
204655_at	CCL5	Homo sapiens	C-C motif chemokine ligand 5(CCL5)
210672_s_at	NPRL3	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
231577_s_at	GBP1	Homo sapiens	guanylate binding protein 1(GBP1)
228536_at	PRMT9	Homo sapiens	protein arginine methyltransferase 9(PRMT9)
217751_at	GSTK1	Homo sapiens	glutathione S-transferase kappa 1(GSTK1)
206974_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
226710_at	C8orf82	Homo sapiens	chromosome 8 open reading frame 82(C8orf82)
202351_at	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
201762_s_at	PSME2	Homo sapiens	proteasome activator subunit 2(PSME2)
202357_s_at	CFB	Homo sapiens	complement factor B(CFB)
201301_s_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
208747_s_at	C1S	Homo sapiens	complement C1s(C1S)
219911_s_at	SLCO4A1	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
207453_s_at	DNAJB5	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
202687_s_at	TNFSF10	Homo sapiens	TNF superfamily member 10(TNFSF10)
202269_x_at	GBP1	Homo sapiens	guanylate binding protein 1(GBP1)
232746_at	ACKR3	Homo sapiens	atypical chemokine receptor 3(ACKR3)
217196_s_at	CAMSAP2	Homo sapiens	calmodulin regulated spectrin associated protein family member 2(CAMSAP2)
211113_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
228285_at	TDRD9	Homo sapiens	tudor domain containing 9(TDRD9)
210665_at	TFPI	Homo sapiens	tissue factor pathway inhibitor(TFPI)
215438_x_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
203831_at	R3HDM2	Homo sapiens	R3H domain containing 2(R3HDM2)
229390_at	CALHM6	Homo sapiens	calcium homeostasis modulator family member 6(CALHM6)
211086_x_at	NEK1	Homo sapiens	NIMA related kinase 1(NEK1)
201689_s_at	TPD52	Homo sapiens	tumor protein D52(TPD52)
235740_at	MCTP1	Homo sapiens	multiple C2 and transmembrane domain containing 1(MCTP1)
204472_at	GEM	Homo sapiens	GTP binding protein overexpressed in skeletal muscle(GEM)
1554466_a_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
221423_s_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
223567_at	SEMA6B	Homo sapiens	semaphorin 6B(SEMA6B)
1562749_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
204779_s_at	HOXB7	Homo sapiens	homeobox B7(HOXB7)
216973_s_at	HOXB7	Homo sapiens	homeobox B7(HOXB7)
211744_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
231192_at	LPAR3	Homo sapiens	lysophosphatidic acid receptor 3(LPAR3)
229391_s_at	CALHM6	Homo sapiens	calcium homeostasis modulator family member 6(CALHM6)
232687_at	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
204567_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
201601_x_at	IFITM2	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
202628_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
217127_at	CTH	Homo sapiens	cystathionine gamma-lyase(CTH)
204136_at	COL7A1	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)
204224_s_at	GCH1	Homo sapiens	GTP cyclohydrolase 1(GCH1)
200814_at	PSME1	Homo sapiens	proteasome activator subunit 1(PSME1)
201809_s_at	ENG	Homo sapiens	endoglin(ENG)
201302_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
227609_at	EPSTI1	Homo sapiens	epithelial stromal interaction 1(EPSTI1)
205466_s_at	HS3ST1	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 1(HS3ST1)
202270_at	GBP1	Homo sapiens	guanylate binding protein 1(GBP1)
213706_at	GPD1	Homo sapiens	glycerol-3-phosphate dehydrogenase 1(GPD1)
226099_at	ELL2	Homo sapiens	elongation factor for RNA polymerase II 2(ELL2)
238569_at	GABBR1	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
1563745_a_at	ZMIZ1-AS1	Homo sapiens	ZMIZ1 antisense RNA 1(ZMIZ1-AS1)
242482_at	PRKAR1A	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
213310_at	AGO2	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
211833_s_at	BAX	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)
209610_s_at	SLC1A4	Homo sapiens	solute carrier family 1 member 4(SLC1A4)
202688_at	TNFSF10	Homo sapiens	TNF superfamily member 10(TNFSF10)
205891_at	ADORA2B	Homo sapiens	adenosine A2b receptor(ADORA2B)
202748_at	GBP2	Homo sapiens	guanylate binding protein 2(GBP2)
225589_at	SH3RF1	Homo sapiens	SH3 domain containing ring finger 1(SH3RF1)
208510_s_at	PPARG	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
238079_at	TPM3	Homo sapiens	tropomyosin 3(TPM3)
213095_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
235916_at	YPEL4	Homo sapiens	yippee like 4(YPEL4)
212828_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
203108_at	GPRC5A	Homo sapiens	G protein-coupled receptor class C group 5 member A(GPRC5A)
