From	To	Species	Gene Name
211762_s_at	KPNA2	Homo sapiens	karyopherin subunit alpha 2(KPNA2)
209719_x_at	SERPINB3	Homo sapiens	serpin family B member 3(SERPINB3)
236119_s_at	SPRR2G	Homo sapiens	small proline rich protein 2G(SPRR2G)
223880_x_at	TGIF2-RAB5IF	Homo sapiens	TGIF2-RAB5IF readthrough(TGIF2-RAB5IF)
232082_x_at	SPRR3	Homo sapiens	small proline rich protein 3(SPRR3)
204638_at	ACP5	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)
227814_at	WDR53	Homo sapiens	WD repeat domain 53(WDR53)
233072_at	NTNG2	Homo sapiens	netrin G2(NTNG2)
210004_at	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
217272_s_at	SERPINB13	Homo sapiens	serpin family B member 13(SERPINB13)
209574_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
209124_at	MYD88	Homo sapiens	MYD88 innate immune signal transduction adaptor(MYD88)
244692_at	CYP4F22	Homo sapiens	cytochrome P450 family 4 subfamily F member 22(CYP4F22)
221779_at	MICALL1	Homo sapiens	MICAL like 1(MICALL1)
214549_x_at	SPRR1A	Homo sapiens	small proline rich protein 1A(SPRR1A)
211974_x_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
228955_at	LRP8	Homo sapiens	LDL receptor related protein 8(LRP8)
1555832_s_at	KLF6	Homo sapiens	KLF transcription factor 6(KLF6)
221748_s_at	TNS1	Homo sapiens	tensin 1(TNS1)
202123_s_at	ABL1	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
225186_at	RAPH1	Homo sapiens	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)
202627_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
206561_s_at	AKR1B10	Homo sapiens	aldo-keto reductase family 1 member B10(AKR1B10)
201563_at	SORD	Homo sapiens	sorbitol dehydrogenase(SORD)
210517_s_at	AKAP12	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
223032_x_at	PRELID1	Homo sapiens	PRELI domain containing 1(PRELID1)
225339_at	SPAG9	Homo sapiens	sperm associated antigen 9(SPAG9)
238559_at	AFTPH-DT	Homo sapiens	AFTPH divergent transcript(AFTPH-DT)
1554240_a_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
211075_s_at	CD47	Homo sapiens	CD47 molecule(CD47)
219257_s_at	SPHK1	Homo sapiens	sphingosine kinase 1(SPHK1)
1552701_a_at	CARD16	Homo sapiens	caspase recruitment domain family member 16(CARD16)
204465_s_at	INA	Homo sapiens	internexin neuronal intermediate filament protein alpha(INA)
203476_at	TPBG	Homo sapiens	trophoblast glycoprotein(TPBG)
224328_s_at	LCE3D	Homo sapiens	late cornified envelope 3D(LCE3D)
218562_s_at	MACO1	Homo sapiens	macoilin 1(MACO1)
226226_at	TMEM45B	Homo sapiens	transmembrane protein 45B(TMEM45B)
218153_at	CARS2	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)
224606_at	KLF6	Homo sapiens	KLF transcription factor 6(KLF6)
208650_s_at	CD24	Homo sapiens	CD24 molecule(CD24)
201532_at	PSMA3	Homo sapiens	proteasome 20S subunit alpha 3(PSMA3)
201389_at	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
221985_at	KLHL24	Homo sapiens	kelch like family member 24(KLHL24)
224376_s_at	TGIF2-RAB5IF	Homo sapiens	TGIF2-RAB5IF readthrough(TGIF2-RAB5IF)
1554406_a_at	CLEC7A	Homo sapiens	C-type lectin domain containing 7A(CLEC7A)
35820_at	GM2A	Homo sapiens	ganglioside GM2 activator(GM2A)
220658_s_at	BMAL2	Homo sapiens	basic helix-loop-helix ARNT like 2(BMAL2)
226000_at	CTTNBP2NL	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)
214375_at	PPFIBP1	Homo sapiens	PPFIA binding protein 1(PPFIBP1)
212737_at	GM2A	Homo sapiens	ganglioside GM2 activator(GM2A)
216470_x_at	PRSS3P1	Homo sapiens	PRSS3 pseudogene 1(PRSS3P1)
1568629_s_at	PIK3R2	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
204702_s_at	NFE2L3	Homo sapiens	NFE2 like bZIP transcription factor 3(NFE2L3)
204690_at	STX8	Homo sapiens	syntaxin 8(STX8)
210413_x_at	SERPINB3	Homo sapiens	serpin family B member 3(SERPINB3)
231211_s_at	YIF1B	Homo sapiens	Yip1 interacting factor homolog B, membrane trafficking protein(YIF1B)
227570_at	TMEM86A	Homo sapiens	transmembrane protein 86A(TMEM86A)
204134_at	PDE2A	Homo sapiens	phosphodiesterase 2A(PDE2A)
224329_s_at	CNFN	Homo sapiens	cornifelin(CNFN)
226482_s_at	TSTD1	Homo sapiens	thiosulfate sulfurtransferase like domain containing 1(TSTD1)
202724_s_at	FOXO1	Homo sapiens	forkhead box O1(FOXO1)
219709_x_at	ANTKMT	Homo sapiens	adenine nucleotide translocase lysine methyltransferase(ANTKMT)
218454_at	PLBD1	Homo sapiens	phospholipase B domain containing 1(PLBD1)
205790_at	SKAP1	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)
219212_at	HSPA14	Homo sapiens	heat shock protein family A (Hsp70) member 14(HSPA14)
209478_at	CENPX	Homo sapiens	centromere protein X(CENPX)
242224_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
219680_at	NLRX1	Homo sapiens	NLR family member X1(NLRX1)
206675_s_at	SKIL	Homo sapiens	SKI like proto-oncogene(SKIL)
214580_x_at	KRT6C	Homo sapiens	keratin 6C(KRT6C)
207098_s_at	MFN1	Homo sapiens	mitofusin 1(MFN1)
201912_s_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
222750_s_at	SRD5A3	Homo sapiens	steroid 5 alpha-reductase 3(SRD5A3)
218815_s_at	TMEM51	Homo sapiens	transmembrane protein 51(TMEM51)
1566129_at	LIMS1	Homo sapiens	LIM zinc finger domain containing 1(LIMS1)
237753_at	IL21R	Homo sapiens	interleukin 21 receptor(IL21R)
236026_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
226629_at	SLC43A2	Homo sapiens	solute carrier family 43 member 2(SLC43A2)
210652_s_at	TTC39A	Homo sapiens	tetratricopeptide repeat domain 39A(TTC39A)
209125_at	KRT6A	Homo sapiens	keratin 6A(KRT6A)
227735_s_at	GPR15LG	Homo sapiens	G protein-coupled receptor 15 ligand(GPR15LG)
216942_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
221107_at	CHRNA9	Homo sapiens	cholinergic receptor nicotinic alpha 9 subunit(CHRNA9)
239719_at	CD109	Homo sapiens	CD109 molecule(CD109)
232074_at	PRSS27	Homo sapiens	serine protease 27(PRSS27)
224949_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
202338_at	TK1	Homo sapiens	thymidine kinase 1(TK1)
1569144_a_at	CYSRT1	Homo sapiens	cysteine rich tail 1(CYSRT1)
202345_s_at	FABP5	Homo sapiens	fatty acid binding protein 5(FABP5)
209573_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
203411_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
218166_s_at	RSF1	Homo sapiens	remodeling and spacing factor 1(RSF1)
205027_s_at	MAP3K8	Homo sapiens	mitogen-activated protein kinase kinase kinase 8(MAP3K8)
209720_s_at	SERPINB3	Homo sapiens	serpin family B member 3(SERPINB3)
202139_at	AKR7A2	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
212086_x_at	LMNA	Homo sapiens	lamin A/C(LMNA)
203535_at	S100A9	Homo sapiens	S100 calcium binding protein A9(S100A9)
215111_s_at	TSC22D1	Homo sapiens	TSC22 domain family member 1(TSC22D1)
204255_s_at	VDR	Homo sapiens	vitamin D receptor(VDR)
205376_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
215380_s_at	GGCT	Homo sapiens	gamma-glutamylcyclotransferase(GGCT)
202547_s_at	ARHGEF7	Homo sapiens	Rho guanine nucleotide exchange factor 7(ARHGEF7)
204283_at	FARS2	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)
207785_s_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
219555_s_at	CENPN	Homo sapiens	centromere protein N(CENPN)
208539_x_at	SPRR2B	Homo sapiens	small proline rich protein 2B(SPRR2B)
210138_at	RGS20	Homo sapiens	regulator of G protein signaling 20(RGS20)
217875_s_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
204971_at	CSTA	Homo sapiens	cystatin A(CSTA)
216379_x_at	CD24	Homo sapiens	CD24 molecule(CD24)
202610_s_at	MED14	Homo sapiens	mediator complex subunit 14(MED14)
203691_at	PI3	Homo sapiens	peptidase inhibitor 3(PI3)
223658_at	KCNK6	Homo sapiens	potassium two pore domain channel subfamily K member 6(KCNK6)
211758_x_at	TXNDC9	Homo sapiens	thioredoxin domain containing 9(TXNDC9)
222449_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
219722_s_at	GDPD3	Homo sapiens	glycerophosphodiester phosphodiesterase domain containing 3(GDPD3)
213088_s_at	DNAJC9	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C9(DNAJC9)
213825_at	OLIG2	Homo sapiens	oligodendrocyte transcription factor 2(OLIG2)
217954_s_at	PHF3	Homo sapiens	PHD finger protein 3(PHF3)
237120_at	KRT77	Homo sapiens	keratin 77(KRT77)
214374_s_at	PPFIBP1	Homo sapiens	PPFIA binding protein 1(PPFIBP1)
209928_s_at	MSC	Homo sapiens	musculin(MSC)
225252_at	SRXN1	Homo sapiens	sulfiredoxin 1(SRXN1)
227410_at	FAM43A	Homo sapiens	family with sequence similarity 43 member A(FAM43A)
209993_at	ABCB1	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
217388_s_at	KYNU	Homo sapiens	kynureninase(KYNU)
221246_x_at	TNS1	Homo sapiens	tensin 1(TNS1)
213325_at	NECTIN3	Homo sapiens	nectin cell adhesion molecule 3(NECTIN3)
215395_x_at	PRSS3P2	Homo sapiens	PRSS3 pseudogene 2(PRSS3P2)
1555756_a_at	CLEC7A	Homo sapiens	C-type lectin domain containing 7A(CLEC7A)
266_s_at	CD24	Homo sapiens	CD24 molecule(CD24)
222809_x_at	CCDC85C	Homo sapiens	coiled-coil domain containing 85C(CCDC85C)
203420_at	FAM8A1	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
219595_at	ZNF26	Homo sapiens	zinc finger protein 26(ZNF26)
202503_s_at	PCLAF	Homo sapiens	PCNA clamp associated factor(PCLAF)
216180_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
220944_at	PGLYRP4	Homo sapiens	peptidoglycan recognition protein 4(PGLYRP4)
222662_at	PPP1R3B	Homo sapiens	protein phosphatase 1 regulatory subunit 3B(PPP1R3B)
201041_s_at	DUSP1	Homo sapiens	dual specificity phosphatase 1(DUSP1)
221482_s_at	ARPP19	Homo sapiens	cAMP regulated phosphoprotein 19(ARPP19)
222450_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
37152_at	PPARD	Homo sapiens	peroxisome proliferator activated receptor delta(PPARD)
222874_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
221914_at	SYN1	Homo sapiens	synapsin I(SYN1)
210638_s_at	FBXO9	Homo sapiens	F-box protein 9(FBXO9)
226698_at	FCHSD1	Homo sapiens	FCH and double SH3 domains 1(FCHSD1)
219079_at	CYB5R4	Homo sapiens	cytochrome b5 reductase 4(CYB5R4)
235117_at	CHAC2	Homo sapiens	ChaC glutathione specific gamma-glutamylcyclotransferase 2(CHAC2)
223402_at	DUSP23	Homo sapiens	dual specificity phosphatase 23(DUSP23)
214435_x_at	RALA	Homo sapiens	RAS like proto-oncogene A(RALA)
204527_at	MYO5A	Homo sapiens	myosin VA(MYO5A)
221896_s_at	HIGD1A	Homo sapiens	HIG1 hypoxia inducible domain family member 1A(HIGD1A)
214583_at	DDI2	Homo sapiens	DNA damage inducible 1 homolog 2(DDI2)
212899_at	CDK19	Homo sapiens	cyclin dependent kinase 19(CDK19)
209122_at	PLIN2	Homo sapiens	perilipin 2(PLIN2)
204162_at	NDC80	Homo sapiens	NDC80 kinetochore complex component(NDC80)
227639_at	PIGK	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
1553723_at	ADGRG3	Homo sapiens	adhesion G protein-coupled receptor G3(ADGRG3)
222876_s_at	ADAP2	Homo sapiens	ArfGAP with dual PH domains 2(ADAP2)
205916_at	S100A7	Homo sapiens	S100 calcium binding protein A7(S100A7)
213234_at	FAM234B	Homo sapiens	family with sequence similarity 234 member B(FAM234B)
201135_at	ECHS1	Homo sapiens	enoyl-CoA hydratase, short chain 1(ECHS1)
227817_at	PRKCB	Homo sapiens	protein kinase C beta(PRKCB)
240303_at	TMC5	Homo sapiens	transmembrane channel like 5(TMC5)
227935_s_at	PCGF5	Homo sapiens	polycomb group ring finger 5(PCGF5)
209325_s_at	RGS16	Homo sapiens	regulator of G protein signaling 16(RGS16)
205909_at	POLE2	Homo sapiens	DNA polymerase epsilon 2, accessory subunit(POLE2)
221698_s_at	CLEC7A	Homo sapiens	C-type lectin domain containing 7A(CLEC7A)
238319_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
219532_at	ELOVL4	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
201274_at	PSMA5	Homo sapiens	proteasome 20S subunit alpha 5(PSMA5)
230345_at	SEMA7A	Homo sapiens	semaphorin 7A (John Milton Hagen blood group)(SEMA7A)
222838_at	SLAMF7	Homo sapiens	SLAM family member 7(SLAMF7)
212230_at	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
1554600_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
230323_s_at	TMEM45B	Homo sapiens	transmembrane protein 45B(TMEM45B)
227378_x_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
210612_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
211668_s_at	PLAU	Homo sapiens	plasminogen activator, urokinase(PLAU)
231948_s_at	UBE2F	Homo sapiens	ubiquitin conjugating enzyme E2 F (putative)(UBE2F)
204392_at	CAMK1	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
212566_at	MAP4	Homo sapiens	microtubule associated protein 4(MAP4)
206170_at	ADRB2	Homo sapiens	adrenoceptor beta 2(ADRB2)
224415_s_at	HINT2	Homo sapiens	histidine triad nucleotide binding protein 2(HINT2)
223586_at	BMAL2	Homo sapiens	basic helix-loop-helix ARNT like 2(BMAL2)
224934_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
221737_at	GNA12	Homo sapiens	G protein subunit alpha 12(GNA12)
224368_s_at	NDRG3	Homo sapiens	NDRG family member 3(NDRG3)
204985_s_at	TRAPPC6A	Homo sapiens	trafficking protein particle complex subunit 6A(TRAPPC6A)
226177_at	GLTP	Homo sapiens	glycolipid transfer protein(GLTP)
37549_g_at	BBS9	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
220664_at	SPRR2C	Homo sapiens	small proline rich protein 2C (pseudogene)(SPRR2C)
210672_s_at	NPRL3	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
228536_at	PRMT9	Homo sapiens	protein arginine methyltransferase 9(PRMT9)
217751_at	GSTK1	Homo sapiens	glutathione S-transferase kappa 1(GSTK1)
206974_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
226710_at	C8orf82	Homo sapiens	chromosome 8 open reading frame 82(C8orf82)
202351_at	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
201762_s_at	PSME2	Homo sapiens	proteasome activator subunit 2(PSME2)
201301_s_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
217678_at	SLC7A11	Homo sapiens	solute carrier family 7 member 11(SLC7A11)
219911_s_at	SLCO4A1	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
207453_s_at	DNAJB5	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
232746_at	ACKR3	Homo sapiens	atypical chemokine receptor 3(ACKR3)
217196_s_at	CAMSAP2	Homo sapiens	calmodulin regulated spectrin associated protein family member 2(CAMSAP2)
211113_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
217951_s_at	PHF3	Homo sapiens	PHD finger protein 3(PHF3)
211361_s_at	SERPINB13	Homo sapiens	serpin family B member 13(SERPINB13)
224901_at	SCD5	Homo sapiens	stearoyl-CoA desaturase 5(SCD5)
218532_s_at	RETREG1	Homo sapiens	reticulophagy regulator 1(RETREG1)
210665_at	TFPI	Homo sapiens	tissue factor pathway inhibitor(TFPI)
204478_s_at	RABIF	Homo sapiens	RAB interacting factor(RABIF)
215438_x_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
203831_at	R3HDM2	Homo sapiens	R3H domain containing 2(R3HDM2)
206008_at	TGM1	Homo sapiens	transglutaminase 1(TGM1)
211086_x_at	NEK1	Homo sapiens	NIMA related kinase 1(NEK1)
225099_at	FBXO45	Homo sapiens	F-box protein 45(FBXO45)
214838_at	SFT2D2	Homo sapiens	SFT2 domain containing 2(SFT2D2)
219358_s_at	ADAP2	Homo sapiens	ArfGAP with dual PH domains 2(ADAP2)
205064_at	SPRR1B	Homo sapiens	small proline rich protein 1B(SPRR1B)
41469_at	PI3	Homo sapiens	peptidase inhibitor 3(PI3)
239430_at	IGFL1	Homo sapiens	IGF like family member 1(IGFL1)
201202_at	PCNA	Homo sapiens	proliferating cell nuclear antigen(PCNA)
205404_at	HSD11B1	Homo sapiens	hydroxysteroid 11-beta dehydrogenase 1(HSD11B1)
204472_at	GEM	Homo sapiens	GTP binding protein overexpressed in skeletal muscle(GEM)
204730_at	RIMS3	Homo sapiens	regulating synaptic membrane exocytosis 3(RIMS3)
217845_x_at	HIGD1A	Homo sapiens	HIG1 hypoxia inducible domain family member 1A(HIGD1A)
1554466_a_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
221423_s_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
224209_s_at	GDA	Homo sapiens	guanine deaminase(GDA)
223567_at	SEMA6B	Homo sapiens	semaphorin 6B(SEMA6B)
1569555_at	GDA	Homo sapiens	guanine deaminase(GDA)
1562749_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
214598_at	CLDN8	Homo sapiens	claudin 8(CLDN8)
211744_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
236840_at	C12orf56	Homo sapiens	chromosome 12 open reading frame 56(C12orf56)
235113_at	LRR1	Homo sapiens	leucine rich repeat protein 1(LRR1)
203008_x_at	TXNDC9	Homo sapiens	thioredoxin domain containing 9(TXNDC9)
217835_x_at	TGIF2-RAB5IF	Homo sapiens	TGIF2-RAB5IF readthrough(TGIF2-RAB5IF)
232687_at	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
204567_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
233687_s_at	KLK8	Homo sapiens	kallikrein related peptidase 8(KLK8)
201601_x_at	IFITM2	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
202628_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
217127_at	CTH	Homo sapiens	cystathionine gamma-lyase(CTH)
204136_at	COL7A1	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)
200814_at	PSME1	Homo sapiens	proteasome activator subunit 1(PSME1)
205863_at	S100A12	Homo sapiens	S100 calcium binding protein A12(S100A12)
209771_x_at	CD24	Homo sapiens	CD24 molecule(CD24)
218497_s_at	RNASEH1	Homo sapiens	ribonuclease H1(RNASEH1)
201809_s_at	ENG	Homo sapiens	endoglin(ENG)
201302_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
205466_s_at	HS3ST1	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 1(HS3ST1)
209921_at	SLC7A11	Homo sapiens	solute carrier family 7 member 11(SLC7A11)
233952_s_at	ZBTB21	Homo sapiens	zinc finger and BTB domain containing 21(ZBTB21)
225083_at	GTF3C6	Homo sapiens	general transcription factor IIIC subunit 6(GTF3C6)
220249_at	HYAL4	Homo sapiens	hyaluronidase 4(HYAL4)
215017_s_at	FNBP1L	Homo sapiens	formin binding protein 1 like(FNBP1L)
226099_at	ELL2	Homo sapiens	elongation factor for RNA polymerase II 2(ELL2)
238569_at	GABBR1	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
1559399_s_at	ZCCHC10	Homo sapiens	zinc finger CCHC-type containing 10(ZCCHC10)
1563745_a_at	ZMIZ1-AS1	Homo sapiens	ZMIZ1 antisense RNA 1(ZMIZ1-AS1)
218219_s_at	LANCL2	Homo sapiens	LanC like glutathione S-transferase 2(LANCL2)
242482_at	PRKAR1A	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
213310_at	AGO2	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
211833_s_at	BAX	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)
209610_s_at	SLC1A4	Homo sapiens	solute carrier family 1 member 4(SLC1A4)
212531_at	LCN2	Homo sapiens	lipocalin 2(LCN2)
208510_s_at	PPARG	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
232170_at	S100A7A	Homo sapiens	S100 calcium binding protein A7A(S100A7A)
238079_at	TPM3	Homo sapiens	tropomyosin 3(TPM3)
55081_at	MICALL1	Homo sapiens	MICAL like 1(MICALL1)
222223_s_at	IL36RN	Homo sapiens	interleukin 36 receptor antagonist(IL36RN)
206653_at	POLR3G	Homo sapiens	RNA polymerase III subunit G(POLR3G)
1555404_a_at	DUOXA1	Homo sapiens	dual oxidase maturation factor 1(DUOXA1)
224511_s_at	TXNDC17	Homo sapiens	thioredoxin domain containing 17(TXNDC17)
242712_x_at	RGPD4	Homo sapiens	RANBP2 like and GRIP domain containing 4(RGPD4)
