From	To	Species	Gene Name
204415_at	IFI6	Homo sapiens	interferon alpha inducible protein 6(IFI6)
202016_at	MEST	Homo sapiens	mesoderm specific transcript(MEST)
235529_x_at	SAMHD1	Homo sapiens	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1(SAMHD1)
201212_at	LGMN	Homo sapiens	legumain(LGMN)
227236_at	TSPAN2	Homo sapiens	tetraspanin 2(TSPAN2)
205552_s_at	OAS1	Homo sapiens	2'-5'-oligoadenylate synthetase 1(OAS1)
244353_s_at	SLC2A12	Homo sapiens	solute carrier family 2 member 12(SLC2A12)
201328_at	ETS2	Homo sapiens	ETS proto-oncogene 2, transcription factor(ETS2)
233072_at	NTNG2	Homo sapiens	netrin G2(NTNG2)
210004_at	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
1554980_a_at	ATF3	Homo sapiens	activating transcription factor 3(ATF3)
205801_s_at	RASGRP3	Homo sapiens	RAS guanyl releasing protein 3(RASGRP3)
209574_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
227058_at	MEDAG	Homo sapiens	mesenteric estrogen dependent adipogenesis(MEDAG)
236034_at	ANGPT2	Homo sapiens	angiopoietin 2(ANGPT2)
218211_s_at	MLPH	Homo sapiens	melanophilin(MLPH)
211974_x_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
221748_s_at	TNS1	Homo sapiens	tensin 1(TNS1)
202123_s_at	ABL1	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
225186_at	RAPH1	Homo sapiens	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)
208436_s_at	IRF7	Homo sapiens	interferon regulatory factor 7(IRF7)
202627_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
201563_at	SORD	Homo sapiens	sorbitol dehydrogenase(SORD)
242625_at	RSAD2	Homo sapiens	radical S-adenosyl methionine domain containing 2(RSAD2)
210517_s_at	AKAP12	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
225339_at	SPAG9	Homo sapiens	sperm associated antigen 9(SPAG9)
204475_at	MMP1	Homo sapiens	matrix metallopeptidase 1(MMP1)
1554240_a_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
219257_s_at	SPHK1	Homo sapiens	sphingosine kinase 1(SPHK1)
230112_at	MARCHF4	Homo sapiens	membrane associated ring-CH-type finger 4(MARCHF4)
1552701_a_at	CARD16	Homo sapiens	caspase recruitment domain family member 16(CARD16)
218562_s_at	MACO1	Homo sapiens	macoilin 1(MACO1)
201329_s_at	ETS2	Homo sapiens	ETS proto-oncogene 2, transcription factor(ETS2)
218153_at	CARS2	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)
229530_at	GUCY1A1	Homo sapiens	guanylate cyclase 1 soluble subunit alpha 1(GUCY1A1)
201389_at	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
1556314_a_at	ZNF366	Homo sapiens	zinc finger protein 366(ZNF366)
217452_s_at	B3GALT2	Homo sapiens	beta-1,3-galactosyltransferase 2(B3GALT2)
232227_at	HSPC324	Homo sapiens	uncharacterized LOC101928612(HSPC324)
226000_at	CTTNBP2NL	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)
228245_s_at	OVOS2	Homo sapiens	alpha-2-macroglobulin like 1 pseudogene(OVOS2)
1568629_s_at	PIK3R2	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
1554997_a_at	PTGS2	Homo sapiens	prostaglandin-endoperoxide synthase 2(PTGS2)
204690_at	STX8	Homo sapiens	syntaxin 8(STX8)
243610_at	CFAP95	Homo sapiens	cilia and flagella associated protein 95(CFAP95)
206639_x_at	HTN1	Homo sapiens	histatin 1(HTN1)
227289_at	PCDH17	Homo sapiens	protocadherin 17(PCDH17)
202672_s_at	ATF3	Homo sapiens	activating transcription factor 3(ATF3)
204134_at	PDE2A	Homo sapiens	phosphodiesterase 2A(PDE2A)
226482_s_at	TSTD1	Homo sapiens	thiosulfate sulfurtransferase like domain containing 1(TSTD1)
210121_at	B3GALT2	Homo sapiens	beta-1,3-galactosyltransferase 2(B3GALT2)
219709_x_at	ANTKMT	Homo sapiens	adenine nucleotide translocase lysine methyltransferase(ANTKMT)
205790_at	SKAP1	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)
204994_at	MX2	Homo sapiens	MX dynamin like GTPase 2(MX2)
209478_at	CENPX	Homo sapiens	centromere protein X(CENPX)
235964_x_at	SAMHD1	Homo sapiens	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1(SAMHD1)
204904_at	GJA4	Homo sapiens	gap junction protein alpha 4(GJA4)
242224_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
211959_at	IGFBP5	Homo sapiens	insulin like growth factor binding protein 5(IGFBP5)
206675_s_at	SKIL	Homo sapiens	SKI like proto-oncogene(SKIL)
201912_s_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
232080_at	HECW2	Homo sapiens	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2(HECW2)
218815_s_at	TMEM51	Homo sapiens	transmembrane protein 51(TMEM51)
1566129_at	LIMS1	Homo sapiens	LIM zinc finger domain containing 1(LIMS1)
237753_at	IL21R	Homo sapiens	interleukin 21 receptor(IL21R)
236026_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
226629_at	SLC43A2	Homo sapiens	solute carrier family 43 member 2(SLC43A2)
206715_at	TFEC	Homo sapiens	transcription factor EC(TFEC)
209301_at	CA2	Homo sapiens	carbonic anhydrase 2(CA2)
244280_at	LINC01013	Homo sapiens	long intergenic non-protein coding RNA 1013(LINC01013)
220108_at	GNA14	Homo sapiens	G protein subunit alpha 14(GNA14)
219211_at	USP18	Homo sapiens	ubiquitin specific peptidase 18(USP18)
216942_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
239719_at	CD109	Homo sapiens	CD109 molecule(CD109)
224949_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
209573_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
203411_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
221489_s_at	SPRY4	Homo sapiens	sprouty RTK signaling antagonist 4(SPRY4)
201387_s_at	UCHL1	Homo sapiens	ubiquitin C-terminal hydrolase L1(UCHL1)
205547_s_at	TAGLN	Homo sapiens	transgelin(TAGLN)
205027_s_at	MAP3K8	Homo sapiens	mitogen-activated protein kinase kinase kinase 8(MAP3K8)
205523_at	HAPLN1	Homo sapiens	hyaluronan and proteoglycan link protein 1(HAPLN1)
202139_at	AKR7A2	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
212086_x_at	LMNA	Homo sapiens	lamin A/C(LMNA)
234987_at	SAMHD1	Homo sapiens	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1(SAMHD1)
204255_s_at	VDR	Homo sapiens	vitamin D receptor(VDR)
214453_s_at	IFI44	Homo sapiens	interferon induced protein 44(IFI44)
205376_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
202547_s_at	ARHGEF7	Homo sapiens	Rho guanine nucleotide exchange factor 7(ARHGEF7)
204283_at	FARS2	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)
207785_s_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
217875_s_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
202610_s_at	MED14	Homo sapiens	mediator complex subunit 14(MED14)
222449_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
213825_at	OLIG2	Homo sapiens	oligodendrocyte transcription factor 2(OLIG2)
235050_at	SLC2A12	Homo sapiens	solute carrier family 2 member 12(SLC2A12)
226498_at	FLT1	Homo sapiens	fms related receptor tyrosine kinase 1(FLT1)
205656_at	PCDH17	Homo sapiens	protocadherin 17(PCDH17)
203498_at	RCAN2	Homo sapiens	regulator of calcineurin 2(RCAN2)
209928_s_at	MSC	Homo sapiens	musculin(MSC)
205899_at	CCNA1	Homo sapiens	cyclin A1(CCNA1)
226497_s_at	FLT1	Homo sapiens	fms related receptor tyrosine kinase 1(FLT1)
227410_at	FAM43A	Homo sapiens	family with sequence similarity 43 member A(FAM43A)
209993_at	ABCB1	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
221246_x_at	TNS1	Homo sapiens	tensin 1(TNS1)
213325_at	NECTIN3	Homo sapiens	nectin cell adhesion molecule 3(NECTIN3)
214238_at	GDF7	Homo sapiens	growth differentiation factor 7(GDF7)
203420_at	FAM8A1	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
216180_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
205567_at	CHST1	Homo sapiens	carbohydrate sulfotransferase 1(CHST1)
221482_s_at	ARPP19	Homo sapiens	cAMP regulated phosphoprotein 19(ARPP19)
230036_at	SAMD9L	Homo sapiens	sterile alpha motif domain containing 9 like(SAMD9L)
221371_at	TNFSF18	Homo sapiens	TNF superfamily member 18(TNFSF18)
222450_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
222043_at	CLU	Homo sapiens	clusterin(CLU)
222874_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
221914_at	SYN1	Homo sapiens	synapsin I(SYN1)
204533_at	CXCL10	Homo sapiens	C-X-C motif chemokine ligand 10(CXCL10)
223402_at	DUSP23	Homo sapiens	dual specificity phosphatase 23(DUSP23)
210163_at	CXCL11	Homo sapiens	C-X-C motif chemokine ligand 11(CXCL11)
223454_at	CXCL16	Homo sapiens	C-X-C motif chemokine ligand 16(CXCL16)
214435_x_at	RALA	Homo sapiens	RAS like proto-oncogene A(RALA)
226961_at	PRR15	Homo sapiens	proline rich 15(PRR15)
238733_at	MDM2	Homo sapiens	MDM2 proto-oncogene(MDM2)
222033_s_at	FLT1	Homo sapiens	fms related receptor tyrosine kinase 1(FLT1)
214583_at	DDI2	Homo sapiens	DNA damage inducible 1 homolog 2(DDI2)
222856_at	APLN	Homo sapiens	apelin(APLN)
212899_at	CDK19	Homo sapiens	cyclin dependent kinase 19(CDK19)
224964_s_at	GNG2	Homo sapiens	G protein subunit gamma 2(GNG2)
209122_at	PLIN2	Homo sapiens	perilipin 2(PLIN2)
227639_at	PIGK	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
1555724_s_at	TAGLN	Homo sapiens	transgelin(TAGLN)
215870_s_at	PLA2G5	Homo sapiens	phospholipase A2 group V(PLA2G5)
1553723_at	ADGRG3	Homo sapiens	adhesion G protein-coupled receptor G3(ADGRG3)
1562367_at	LINC02915	Homo sapiens	long intergenic non-protein coding RNA 2915(LINC02915)
202404_s_at	COL1A2	Homo sapiens	collagen type I alpha 2 chain(COL1A2)
211122_s_at	CXCL11	Homo sapiens	C-X-C motif chemokine ligand 11(CXCL11)
209417_s_at	IFI35	Homo sapiens	interferon induced protein 35(IFI35)
217757_at	A2M	Homo sapiens	alpha-2-macroglobulin(A2M)
207414_s_at	PCSK6	Homo sapiens	proprotein convertase subtilisin/kexin type 6(PCSK6)
201135_at	ECHS1	Homo sapiens	enoyl-CoA hydratase, short chain 1(ECHS1)
227817_at	PRKCB	Homo sapiens	protein kinase C beta(PRKCB)
209325_s_at	RGS16	Homo sapiens	regulator of G protein signaling 16(RGS16)
238319_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
219532_at	ELOVL4	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
219863_at	HERC5	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 5(HERC5)
214438_at	HLX	Homo sapiens	H2.0 like homeobox(HLX)
230345_at	SEMA7A	Homo sapiens	semaphorin 7A (John Milton Hagen blood group)(SEMA7A)
212909_at	LYPD1	Homo sapiens	LY6/PLAUR domain containing 1(LYPD1)
212230_at	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
1554600_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
209031_at	CADM1	Homo sapiens	cell adhesion molecule 1(CADM1)
227378_x_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
210612_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
211668_s_at	PLAU	Homo sapiens	plasminogen activator, urokinase(PLAU)
219209_at	IFIH1	Homo sapiens	interferon induced with helicase C domain 1(IFIH1)
204392_at	CAMK1	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
212566_at	MAP4	Homo sapiens	microtubule associated protein 4(MAP4)
203477_at	COL15A1	Homo sapiens	collagen type XV alpha 1 chain(COL15A1)
224415_s_at	HINT2	Homo sapiens	histidine triad nucleotide binding protein 2(HINT2)
205524_s_at	HAPLN1	Homo sapiens	hyaluronan and proteoglycan link protein 1(HAPLN1)
224934_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
221737_at	GNA12	Homo sapiens	G protein subunit alpha 12(GNA12)
209990_s_at	GABBR2	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 2(GABBR2)
224368_s_at	NDRG3	Homo sapiens	NDRG family member 3(NDRG3)
219059_s_at	LYVE1	Homo sapiens	lymphatic vessel endothelial hyaluronan receptor 1(LYVE1)
204985_s_at	TRAPPC6A	Homo sapiens	trafficking protein particle complex subunit 6A(TRAPPC6A)
205483_s_at	ISG15	Homo sapiens	ISG15 ubiquitin like modifier(ISG15)
211148_s_at	ANGPT2	Homo sapiens	angiopoietin 2(ANGPT2)
235643_at	SAMD9L	Homo sapiens	sterile alpha motif domain containing 9 like(SAMD9L)
37549_g_at	BBS9	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
222911_s_at	DIPK2B	Homo sapiens	divergent protein kinase domain 2B(DIPK2B)
210672_s_at	NPRL3	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
228536_at	PRMT9	Homo sapiens	protein arginine methyltransferase 9(PRMT9)
218400_at	OAS2	Homo sapiens	2'-5'-oligoadenylate synthetase 2(OAS2)
217751_at	GSTK1	Homo sapiens	glutathione S-transferase kappa 1(GSTK1)
206974_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
226710_at	C8orf82	Homo sapiens	chromosome 8 open reading frame 82(C8orf82)
202351_at	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
209159_s_at	NDRG4	Homo sapiens	NDRG family member 4(NDRG4)
201762_s_at	PSME2	Homo sapiens	proteasome activator subunit 2(PSME2)
201301_s_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
229450_at	IFIT3	Homo sapiens	interferon induced protein with tetratricopeptide repeats 3(IFIT3)
219911_s_at	SLCO4A1	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
207453_s_at	DNAJB5	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
232746_at	ACKR3	Homo sapiens	atypical chemokine receptor 3(ACKR3)
217196_s_at	CAMSAP2	Homo sapiens	calmodulin regulated spectrin associated protein family member 2(CAMSAP2)
211113_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
209761_s_at	SP110	Homo sapiens	SP110 nuclear body protein(SP110)
223220_s_at	PARP9	Homo sapiens	poly(ADP-ribose) polymerase family member 9(PARP9)
213415_at	CLIC2	Homo sapiens	chloride intracellular channel 2(CLIC2)
210665_at	TFPI	Homo sapiens	tissue factor pathway inhibitor(TFPI)
222719_s_at	PDGFC	Homo sapiens	platelet derived growth factor C(PDGFC)
215438_x_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
203831_at	R3HDM2	Homo sapiens	R3H domain containing 2(R3HDM2)
213797_at	RSAD2	Homo sapiens	radical S-adenosyl methionine domain containing 2(RSAD2)
211086_x_at	NEK1	Homo sapiens	NIMA related kinase 1(NEK1)
202411_at	IFI27	Homo sapiens	interferon alpha inducible protein 27(IFI27)
214587_at	COL8A1	Homo sapiens	collagen type VIII alpha 1 chain(COL8A1)
205572_at	ANGPT2	Homo sapiens	angiopoietin 2(ANGPT2)
204472_at	GEM	Homo sapiens	GTP binding protein overexpressed in skeletal muscle(GEM)
218943_s_at	RIGI	Homo sapiens	RNA sensor RIG-I(RIGI)
226702_at	CMPK2	Homo sapiens	cytidine/uridine monophosphate kinase 2(CMPK2)
1554466_a_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
221423_s_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
223567_at	SEMA6B	Homo sapiens	semaphorin 6B(SEMA6B)
1562749_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
228230_at	HELZ2	Homo sapiens	helicase with zinc finger 2(HELZ2)
211744_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
212670_at	ELN	Homo sapiens	elastin(ELN)
206786_at	HTN3	Homo sapiens	histatin 3(HTN3)
237261_at	ANGPT2	Homo sapiens	angiopoietin 2(ANGPT2)
232687_at	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
203153_at	IFIT1	Homo sapiens	interferon induced protein with tetratricopeptide repeats 1(IFIT1)
204567_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
823_at	CX3CL1	Homo sapiens	C-X3-C motif chemokine ligand 1(CX3CL1)
201601_x_at	IFITM2	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
202628_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
217127_at	CTH	Homo sapiens	cystathionine gamma-lyase(CTH)
204136_at	COL7A1	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)
200814_at	PSME1	Homo sapiens	proteasome activator subunit 1(PSME1)
223313_s_at	MAGED4	Homo sapiens	MAGE family member D4(MAGED4)
228608_at	NALCN	Homo sapiens	sodium leak channel, non-selective(NALCN)
219352_at	HERC6	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6(HERC6)
209283_at	CRYAB	Homo sapiens	crystallin alpha B(CRYAB)
201809_s_at	ENG	Homo sapiens	endoglin(ENG)
201302_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
227609_at	EPSTI1	Homo sapiens	epithelial stromal interaction 1(EPSTI1)
205466_s_at	HS3ST1	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 1(HS3ST1)
226869_at	MEGF6	Homo sapiens	multiple EGF like domains 6(MEGF6)
228863_at	PCDH17	Homo sapiens	protocadherin 17(PCDH17)
204747_at	IFIT3	Homo sapiens	interferon induced protein with tetratricopeptide repeats 3(IFIT3)
226099_at	ELL2	Homo sapiens	elongation factor for RNA polymerase II 2(ELL2)
238569_at	GABBR1	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
1563745_a_at	ZMIZ1-AS1	Homo sapiens	ZMIZ1 antisense RNA 1(ZMIZ1-AS1)
231798_at	NOG	Homo sapiens	noggin(NOG)
201649_at	UBE2L6	Homo sapiens	ubiquitin conjugating enzyme E2 L6(UBE2L6)
242482_at	PRKAR1A	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
213310_at	AGO2	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
211833_s_at	BAX	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)
209610_s_at	SLC1A4	Homo sapiens	solute carrier family 1 member 4(SLC1A4)
213222_at	PLCB1	Homo sapiens	phospholipase C beta 1(PLCB1)
208510_s_at	PPARG	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
238079_at	TPM3	Homo sapiens	tropomyosin 3(TPM3)
220407_s_at	TGFB2	Homo sapiens	transforming growth factor beta 2(TGFB2)
213095_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
235916_at	YPEL4	Homo sapiens	yippee like 4(YPEL4)
227235_at	GUCY1A1	Homo sapiens	guanylate cyclase 1 soluble subunit alpha 1(GUCY1A1)
212828_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
218723_s_at	RGCC	Homo sapiens	regulator of cell cycle(RGCC)
203108_at	GPRC5A	Homo sapiens	G protein-coupled receptor class C group 5 member A(GPRC5A)
